  0. a glowing portal          [   50] OB:  0, PB:  0, invalid Dmg:0d0
121. a gladius                 [  835] OB: 62, PB: 20, slash  Dmg:3d6
122. a amber hilted iron sword [  836] OB: 70, PB: 24, slash  Dmg:4d6
123. an estoc                  [  837] OB: 67, PB: 11, slash  Dmg:4d5
124. a dagger of green jade    [  838] OB: 85, PB:  9, pierce Dmg:3d6
125. a gleaming black greatsword [  845] OB: 84, PB: 30, slash  Dmg:5d6
126. a wickedly scythed longsword [  857] OB: 80, PB:  5, scythe Dmg:5d7
127. a great, molten blacksword [  861] OB: 90, PB:  0, hack   Dmg:6d6
128. a volley of arrows        [  871] OB: 60, PB:  0, pierce Dmg:4d6
129. a sunburst-etched claymore [  875] OB: 82, PB:  6, smite  Dmg:6d6
130. a huge boulder            [  880] OB: 60, PB:  0, crush  Dmg:4d6
131. a bone spike              [  890] OB: 65, PB:  0, stab   Dmg:4d5
132. a long, thin hunting spear [  908] OB: 75, PB: 45, strike Dmg:6d7
133. a curved clear dagger     [  914] OB: 82, PB:  9, pierce Dmg:3d6
134. a Ko'bal battle knife     [  925] OB: 95, PB:  9, pierce Dmg:3d6
135. Blackness, the ancient broadsword [  926] OB: 82, PB: 33, slash  Dmg:5d8
136. a titanic battle-axe shimmering with jewels [  927] OB: 75, PB:  9, blast  Dmg:6d7
137. the Oathbreaker Radar     [  928] OB: 400, PB: 400, sting  Dmg:10d10
138. Slaughter, the blackened blade of Shadar Logoth [  931] OB: 84, PB: 18, slice  Dmg:5d7
139. a sharp stone spear       [  937] OB: 75, PB: 45, strike Dmg:6d7
140. a massive bone-hafted battleaxe [  943] OB: 75, PB: 10, blast  Dmg:5d9
141. a ring-quilloned sword    [  981] OB: 73, PB: 25, slash  Dmg:4d6
142. a sharp, red stone dagger [  987] OB: 82, PB:  9, pierce Dmg:3d6
143. a ruby dagger             [ 1006] OB: 90, PB: 10, pierce Dmg:9d3
144. the Silver Sword          [ 1019] OB: 20, PB: 20, hit    Dmg:4d6
145. an intricate vine-carved staff [ 1020] OB: 40, PB: 50, strike Dmg:3d4
146. a blade of dull gray metal [ 1023] OB: 70, PB: 24, slash  Dmg:5d5
147. a steel lance with crimson-red streamers [ 1026] OB: 70, PB: 10, lance  Dmg:4d7
148. a sleek, mohogany-shafted spear [ 1030] OB: 65, PB: 27, strike Dmg:5d6
149. the Black Fang of Gruarth [ 1032] OB: 91, PB: 11, pierce Dmg:4d5
150. a chipped bastard sword   [ 1050] OB: 52, PB:  8, scythe Dmg:2d4
151. a rusty dagger            [ 1051] OB: 45, PB:  1, pierce Dmg:2d4
152. a dented mace             [ 1052] OB: 47, PB:  2, pound  Dmg:2d4
153. a gnarled wooden staff    [ 1053] OB: 50, PB: 20, strike Dmg:2d4
154. a bent hunting spear      [ 1054] OB: 60, PB: 10, pierce Dmg:2d4
155. a dull glaive             [ 1055] OB: 55, PB: 14, hack   Dmg:2d4
156. a tarnished flail         [ 1056] OB: 45, PB:  1, slice  Dmg:2d4
157. a tattered whip           [ 1057] OB: 55, PB:  0, whip   Dmg:2d4
158. a dusty morning star      [ 1058] OB: 53, PB:  0, crush  Dmg:2d4
159. a ruby-worked rapier      [ 1059] OB: 85, PB:  0, pierce Dmg:2d6
160. a bone club               [ 1060] OB: 71, PB:  4, pound  Dmg:3d9
161. a blue steel trident      [ 1061] OB: 70, PB: 45, lance  Dmg:2d16
162. a s'redit prod            [ 1094] OB: 80, PB: 25, hit    Dmg:6d7
163. the Flame Engraved Greatsword [ 1096] OB: 84, PB: 30, slash  Dmg:5d8
164. Genocide, the spiked axe of Shadowspawn destruction [ 1105] OB: 75, PB: 10, blast  Dmg:5d9
165. a spiked, half-moon bladed battle axe [ 1121] OB: 75, PB:  9, scythe Dmg:6d7
166. a tainted battleaxe       [ 1160] OB: 75, PB: 12, hack   Dmg:5d8
167. a tainted shortsword      [ 1161] OB: 90, PB:  9, pierce Dmg:3d6
168. a tainted greatsword      [ 1162] OB: 85, PB:  5, smite  Dmg:6d6
169. a tainted war maul        [ 1163] OB: 55, PB:  0, blast  Dmg:6d7
170. a tainted poleaxe         [ 1164] OB: 80, PB: 30, hack   Dmg:6d6
171. an obsidian kris          [ 1165] OB: 90, PB:  0, stab   Dmg:3d6
172. a tainted curved longsword [ 1166] OB: 84, PB: 18, slash  Dmg:5d5
173 weapons listed.
